,route,no,station,color
0,BR,01,動物園,brown
1,BR,02,木柵,brown
2,BR,03,萬芳社區,brown
3,BR,04,萬芳醫院,brown
4,BR,05,辛亥,brown
5,BR,06,麟光,brown
6,BR,07,六張犁,brown
7,BR,08,科技大樓,brown
8,BR,09,大安,black
9,BR,10,忠孝復興,black
10,BR,11,南京復興,black
11,BR,12,中山國中,brown
12,BR,13,松山機場,brown
13,BR,14,大直,brown
14,BR,15,劍南路,brown
15,BR,16,西湖,brown
16,BR,17,港墘,brown
17,BR,18,文德,brown
18,BR,19,內湖,brown
19,BR,20,大湖公園,brown
20,BR,21,葫洲,brown
21,BR,22,東湖,brown
22,BR,23,南港軟體園區,brown
23,BR,24,南港展覽館,black
24,R,02,象山,red
25,R,03,台北101/世貿,red
26,R,04,信義安和,red
27,R,05,大安,black
28,R,06,大安森林公園,red
29,R,07,東門,black
30,R,08,中正紀念堂,black
31,R,09,台大醫院,red
32,R,10,台北車站,black
33,R,11,中山,black
34,R,12,雙連,red
35,R,13,民權西路,black
36,R,14,圓山,red
37,R,15,劍潭,red
38,R,16,士林,red
39,R,17,芝山,red
40,R,18,明德,red
41,R,19,石牌,red
42,R,20,唭哩岸,red
43,R,21,奇岩,red
44,R,22,北投,red
45,R,22A,新北投,red
46,R,23,復興崗,red
47,R,24,忠義,red
48,R,25,關渡,red
49,R,26,竹圍,red
50,R,27,紅樹林,red
51,R,28,淡水,red
52,G,01,新店,green
53,G,02,新店區公所,green
54,G,03,七張,green
55,G,03A,小碧潭,green
56,G,04,大坪林,black
57,G,05,景美,green
58,G,06,萬隆,green
59,G,07,公館,green
60,G,08,台電大樓,green
61,G,09,古亭,black
62,G,10,中正紀念堂,black
63,G,11,小南門,green
64,G,12,西門,black
65,G,13,北門,green
66,G,14,中山,black
67,G,15,松江南京,black
68,G,16,南京復興,black
69,G,17,台北小巨蛋,green
70,G,18,南京三民,green
71,G,19,松山,green
72,O,01,南勢角,orange
73,O,02,景安,black
74,O,03,永安市場,orange
75,O,04,頂溪,orange
76,O,05,古亭,black
77,O,06,東門,black
78,O,07,忠孝新生,black
79,O,08,松江南京,black
80,O,09,行天宮,orange
81,O,10,中山國小,orange
82,O,11,民權西路,black
83,O,12,大橋頭,orange
84,O,13,台北橋,orange
85,O,14,菜寮,orange
86,O,15,三重,orange
87,O,16,先嗇宮,orange
88,O,17,頭前庄,black
89,O,18,新莊,orange
90,O,19,輔大,orange
91,O,20,丹鳳,orange
92,O,21,迴龍,orange
93,O,50,三重國小,orange
94,O,51,三和國中,orange
95,O,52,徐匯中學,orange
96,O,53,三民高中,orange
97,O,54,蘆洲,orange
98,BL,01,頂埔,blue
99,BL,02,永寧,blue
100,BL,03,土城,blue
101,BL,04,海山,blue
102,BL,05,亞東醫院,blue
103,BL,06,府中,blue
104,BL,07,板橋,black
105,BL,08,新埔,blue
106,BL,09,江子翠,blue
107,BL,10,龍山寺,blue
108,BL,11,西門,black
109,BL,12,台北車站,black
110,BL,13,善導寺,blue
111,BL,14,忠孝新生,black
112,BL,15,忠孝復興,black
113,BL,16,忠孝敦化,blue
114,BL,17,國父紀念館,blue
115,BL,18,市政府,blue
116,BL,19,永春,blue
117,BL,20,後山埤,blue
118,BL,21,昆陽,blue
119,BL,22,南港,blue
120,BL,23,南港展覽館,black
121,Y,07,大坪林,black
122,Y,08,十四張,yellow
123,Y,09,秀朗橋,yellow
124,Y,10,景平,yellow
125,Y,11,景安,black
126,Y,12,中和,yellow
127,Y,13,橋和,yellow
128,Y,14,中原,yellow
129,Y,15,板新,yellow
130,Y,16,板橋,black
131,Y,17,新埔民生,yellow
132,Y,18,頭前庄,black
133,Y,19,幸福,yellow
134,Y,20,新北產業園區,yellow
